Date,Wind Speed (m/s),Atmospheric Pressure (mb),Solar Radiation (cal/cm2),Evaporation (mm),Relative Humidity (%),Max Temperature,Min Temperature,Average Temperature,Daily Rainfall
2017-01-15,1.2,1011.8,4.2,1.7,83,13.9,12.6,13.2,7.5
2017-02-21,3.0,1009.4,361.0,1.9,75,21.8,16.4,19.1,3.5
2017-03-05,1.1,1002.0,184.0,2.8,76,27.5,13.7,19.3,0.0
2017-04-09,1.1,998.4,253.2,2.7,75,33.0,20.8,25.2,0.0
2017-05-07,3.0,1005.2,440.8,2.3,74,26.9,21.0,23.5,0.0
2017-06-13,0.7,998.8,382.8,2.4,79,34.7,23.5,27.2,7.0
2017-07-07,0.6,1001.8,276.7,7.1,79,33.8,23.5,26.9,33.0
2017-08-06,0.7,994.5,578.0,2.8,71,37.1,25.7,30.7,0.0
2017-09-10,0.8,1000.8,394.6,2.5,78,34.4,24.3,27.8,0.0
2017-10-24,0.4,1010.0,157.6,1.5,84,23.0,16.7,19.8,0.0
2017-11-12,1.9,1005.2,94.7,3.2,83,23.0,19.7,21.1,5.0
2017-12-10,0.5,1007.4,28.9,1.7,81,22.5,11.9,16.2,0.5
2018-01-21,2.0,1004.6,0.0,2,84,21.6,17.3,18.9,1.0
2018-02-04,0.2,1016.1,18.0,0.8,90,9.3,7.8,8.3,24.5
2018-03-04,1.3,1001.8,266.3,2.3,81,29.2,19.6,23.2,0.0
2018-04-08,2.3,1010.3,296.5,5.2,67,23.0,10.7,16.9,0.0
2018-05-06,1.0,1001.7,553.5,2.3,79,32.7,20.1,25.9,0.0
2018-06-03,1.0,999.2,884.0,2.2,80,32.3,22.4,26.5,0.0
2018-07-01,1.0,993.6,883.6,1.6,82,32.8,23.2,26.7,14.0
2018-08-02,1.0,992.3,1490.3,1.6,75,36.0,24.8,29.6,0.0
2018-09-19,1.7,1002.1,1011.7,4.9,73,33.3,23.1,28.0,0.0
2018-09-30,0.7,1001.7,1147.4,4.4,75,28.8,18.0,21.9,0.0
2018-11-04,0.0,1006.8,185.3,0,90,24.8,21.2,22.6,0.5
2018-12-02,1.6,1006.2,526.4,4.3,75,29.1,16.8,21.9,0.0
2019-01-18,2.8,1012.5,505.8,7.1,60,21.5,13.6,17.1,0.0
